sku,name,category,function,relatives,designer,image,gridorder,neworder
KW2010,Melange Sconce,Wall > Decorative,Decorative,Melange,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2010abalb_5.png,4492.0000,,
KW2050,Utopia Asymmetric Sconce,Wall > Decorative,Decorative,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2050aifr_5.png,4459.0000,,
KW2057,Utopia Large Sconce,Wall > Decorative,Decorative,Utopia,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2057aifr_5.png,4463.0000,,
KW2060,Precision Small Sconce,Wall > Decorative,Decorative,Precision,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2060ab_5.png,4402.0000,,
KW2063,Precision Double Sconce,Wall > Decorative,Decorative,Precision,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2063bz_9.png,4405.0000,,
KW2070,Strada Small Sconce,Wall > Decorative,Decorative,Strada,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2070g_9.png,4323.0000,,
KW2200,Liaison Single Sconce,Wall > Decorative,Decorative,Liaison,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2200abcrg_5.png,3627.0000,,
KW2201,Liaison Double Sconce,Wall > Decorative,Decorative,Liaison,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2201abcrg_5.png,3630.0000,,
KW2204,Liaison Statement Sconce,Wall > Decorative,Decorative,Liaison,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw2204abcrg_6.png,3633.0000,,
KW3010,Melange Table Lamp,Table > Decorative,Decorative,Melange,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3010abalb_5.png,498.0000,,
ARN1025,Montreuil Floor Lamp,Floor > Decorative,Decorative,Montreuil,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1025gl_10.png,1071.0000,,
ARN1027,Lebon Floor Lamp,Floor > Decorative,Decorative,Lebon,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn1027gl_6.png,1073.0000,,
ARN2040,Rene Wall Sconce,Wall > Decorative,Decorative,Rene,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2040bslcg_6.png,3608.0000,,
ARN2043,Clayton Wall Sconce,Wall > Decorative,Decorative,Clayton,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2043cg_9.png,4504.0000,,
ARN2045,Tourain Wall Sconce,Wall > Decorative,Decorative,Tourain,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2045blkg_5.png,4432.0000,,
ARN2051,Montreuil Small Wall Sconce,Wall > Decorative,Decorative,Montreuil,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2051gl_8.png,3783.0000,,
ARN2052,Montreuil Medium Wall Sconce,Wall > Decorative,Decorative,Montreuil,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2052gl_5.png,3785.0000,,
ARN2124,Bonnington Wall Sconce,Wall > Decorative,Decorative,Bonnington,AERIN,https://www.circalighting.com/media/catalog/product/a/r/arn2124pncg_5.png,3587.0000,,
KW3032,Linden Table Lamp,Table > Decorative,Decorative,Linden,Kelly Wearstler,https://www.circalighting.com/media/catalog/product/k/w/kw3032pwl_6.png,418.0000,,
